qid	title	year	reach	score	via
Q1144967	To Each His Own Cinema	2007	104	105.80	director:80 composer:13 screenwriter:11 cast:22
Q1348974	No Regrets for Our Youth	1946	61	61.35	director:18 cinematographer:9 editor:15 screenwriter:19 cast:15
Q2005041	The Bad Sleep Well	1960	59	60.45	director:18 editor:15 composer:7 screenwriter:19 cast:25
Q418809	Dreams	1990	60	59.95	director:18 cinematographer:6 editor:15 composer:2 screenwriter:19 cast:15
Q2296238	One Wonderful Sunday	1947	61	58.10	director:18 cinematographer:9 editor:15 screenwriter:19 cast:2
Q1543027	Madadayo	1993	60	57.95	director:18 cinematographer:6 editor:15 composer:2 screenwriter:19 cast:7
Q660874	Rhapsody in August	1991	60	57.45	director:18 cinematographer:6 editor:15 composer:2 screenwriter:19 cast:5
Q1212729	The World's Most Beautiful Swindlers	1964	54	56.35	director:14 cinematographer:26 screenwriter:14 cast:15
Q977372	New York Stories	1989	55	54.10	director:18 cinematographer:20 editor:9 composer:2 screenwriter:6 cast:4
Q2296227	Sanshiro Sugata Part II	1945	54	51.90	director:18 cinematographer:1 editor:15 composer:1 screenwriter:19 cast:6
Q610158	The Men Who Tread on the Tiger's Tail	1945	53	51.85	director:18 cinematographer:1 editor:15 screenwriter:19 cast:9
Q768966	Beyond the Clouds	1995	50	48.80	director:15 cinematographer:8 editor:9 screenwriter:18 cast:6
Q47482560	The Boy and the Heron	2023	53	47.90	director:10 cinematographer:5 editor:14 composer:13 screenwriter:11
Q2273270	I Live in Fear	1955	46	46.90	director:18 cinematographer:9 composer:7 screenwriter:12 cast:14
Q750117	Intolerable Cruelty	2003	50	46.25	director:12 cinematographer:10 editor:6 composer:12 screenwriter:10 cast:1
Q18516636	Hail, Caesar!	2016	48	46.20	director:12 cinematographer:10 editor:4 composer:12 screenwriter:10 cast:8
Q2297993	Scandal	1950	46	45.30	director:18 composer:9 screenwriter:19 cast:12
Q592902	All These Women	1964	47	44.60	director:15 cinematographer:13 composer:5 screenwriter:14
Q83739	The Ladykillers	2004	48	44.20	director:12 cinematographer:10 editor:4 composer:12 screenwriter:10
Q507285	Lumière and Company	1995	43	43.80	director:37 composer:6 cast:8
Q7735260	The French as Seen By...	1988	45	43.40	director:29 screenwriter:16
Q694762	After the Rehearsal	1984	44	42.65	director:15 cinematographer:13 editor:2 screenwriter:14 cast:1
Q664532	Germany in Autumn	1978	44	42.60	director:7 cinematographer:12 editor:9 composer:9 screenwriter:7 cast:8
Q313998	The Hudsucker Proxy	1994	45	42.25	director:12 cinematographer:10 editor:1 composer:12 screenwriter:10 cast:3
Q388846	Face to Face	1976	43	41.90	director:15 cinematographer:13 composer:1 screenwriter:14 cast:2
Q705893	The Serpent's Egg	1977	42	41.85	director:15 cinematographer:13 screenwriter:14 cast:5
Q1651543	The Magic Flute	1975	43	41.65	director:15 cinematographer:13 composer:1 screenwriter:14 cast:1
Q260365	The Passion of Anna	1969	42	41.10	director:15 cinematographer:13 screenwriter:14 cast:2
Q677912	From the Life of the Marionettes	1980	42	41.10	director:15 cinematographer:13 screenwriter:14 cast:2
Q974427	The Touch	1971	42	40.85	director:15 cinematographer:13 screenwriter:14 cast:1
Q318827	Sawdust and Tinsel	1953	42	40.60	director:15 cinematographer:13 screenwriter:14
Q1187530	The Rite	1969	42	40.60	director:15 cinematographer:13 screenwriter:14
Q154581	Gangs of New York	2002	42	40.60	director:11 cinematographer:8 editor:9 composer:11 screenwriter:3 cast:8
Q18401	Love in the City	1953	42	39.70	director:15 cinematographer:4 editor:6 screenwriter:17
Q2625031	A Woman Is a Woman	1961	40	39.55	director:8 cinematographer:11 editor:7 composer:6 screenwriter:8 cast:9
Q1078890	The Magician	1958	41	38.80	director:15 cinematographer:4 editor:3 composer:5 screenwriter:14 cast:2
Q2005033	The Quiet Duel	1949	38	38.65	director:18 composer:1 screenwriter:19 cast:11
Q425669	Summer Interlude	1951	41	38.55	director:15 cinematographer:4 editor:3 composer:5 screenwriter:14 cast:1
Q1078811	Secrets of Women	1952	41	38.55	director:15 cinematographer:4 editor:3 composer:5 screenwriter:14 cast:1
Q472390	The Wrong Man	1956	41	38.50	director:15 cinematographer:9 editor:8 composer:8 screenwriter:1
Q1742092	Eros	2004	39	38.35	director:15 composer:5 screenwriter:19 cast:9
Q428617	The Devil's Eye	1960	41	38.30	director:15 cinematographer:4 editor:3 composer:5 screenwriter:14
Q737055	Cosmopolis	2012	40	37.80	director:8 cinematographer:6 editor:8 composer:11 screenwriter:7 cast:6
Q1990204	The Most Beautiful	1944	38	37.65	director:18 composer:1 screenwriter:19 cast:7
Q381731	Burn After Reading	2008	39	37.55	director:12 cinematographer:7 editor:6 composer:12 screenwriter:2 cast:7
Q18409	Boccaccio '70	1962	40	36.75	director:9 cinematographer:6 editor:4 composer:10 screenwriter:11 cast:1
Q1513195	M. Butterfly	1993	40	36.55	director:8 cinematographer:6 editor:8 composer:11 screenwriter:7 cast:1
Q37342034	The Ballad of Buster Scruggs	2018	39	36.45	director:12 cinematographer:1 editor:4 composer:12 screenwriter:10 cast:5
Q84693711	The Tragedy of Macbeth	2021	39	36.45	director:12 cinematographer:1 editor:4 composer:12 screenwriter:10 cast:5
Q463907	To Joy	1950	38	36.40	director:15 cinematographer:4 editor:3 composer:2 screenwriter:14 cast:2
Q1141100	Saraband	2003	39	36.05	director:15 editor:2 composer:8 screenwriter:14 cast:1
Q955101	The Flavor of Green Tea over Rice	1952	35	35.60	director:11 cinematographer:7 composer:7 screenwriter:10 cast:12
Q32433	Lincoln	2012	37	35.25	director:10 cinematographer:5 editor:8 composer:13 screenwriter:1 cast:7
Q2739665	Late Autumn	1960	31	34.75	director:11 cinematographer:7 editor:1 composer:2 screenwriter:10 cast:21
Q2870474	Land of Silence and Darkness	1971	38	34.70	director:10 cinematographer:3 editor:7 composer:8 screenwriter:10
Q646389	Hook	1991	38	34.65	director:10 cinematographer:5 editor:8 composer:13 screenwriter:2 cast:1
Q472361	Amistad	1997	37	34.50	director:10 cinematographer:5 editor:8 composer:13 screenwriter:1 cast:4
Q1108471	Port of Call	1948	36	34.30	director:15 cinematographer:4 editor:3 screenwriter:14
Q182373	Indiana Jones and the Kingdom of the Crystal Skull	2008	37	34.25	director:10 cinematographer:5 editor:8 composer:13 screenwriter:1 cast:3
Q126683577	Disclosure Day	2026	37	34.25	director:10 cinematographer:5 editor:8 composer:13 screenwriter:1 cast:3
Q1211737	The Bride Wore Black	1968	35	34.15	director:6 cinematographer:11 editor:2 composer:8 screenwriter:8 cast:7
Q672061	Passion	1982	33	34.15	director:8 cinematographer:11 editor:1 composer:2 screenwriter:11 cast:11
Q1647641	Made in U.S.A	1966	34	34.00	director:8 cinematographer:11 editor:7 screenwriter:8 cast:6
Q646031	The Last Temptation of Christ	1988	33	34.00	director:11 cinematographer:8 editor:9 composer:1 screenwriter:4 cast:10
Q310617	Paris, je t'aime	2006	32	34.00	director:17 screenwriter:15 cast:14
Q30203425	The Post	2017	36	33.85	director:10 cinematographer:5 editor:8 composer:13 cast:5
Q200873	The Lost World: Jurassic Park	1997	37	33.75	director:10 cinematographer:5 editor:8 composer:13 screenwriter:1 cast:1
Q202028	War of the Worlds	2005	37	33.50	director:10 cinematographer:5 editor:8 composer:13 screenwriter:1
Q19689203	The BFG	2016	37	33.50	director:10 cinematographer:5 editor:8 composer:13 screenwriter:1
Q208108	Catch Me If You Can	2002	36	33.35	director:10 cinematographer:5 editor:8 composer:13 cast:3
Q218589	War Horse	2011	36	33.35	director:10 cinematographer:5 editor:8 composer:13 cast:3
Q916870	Early Spring	1956	30	33.35	director:11 cinematographer:7 composer:2 screenwriter:10 cast:19
Q185658	Indiana Jones and the Last Crusade	1989	36	33.20	director:10 cinematographer:1 editor:8 composer:13 screenwriter:4 cast:4
Q1413227	The Trouble with Harry	1955	35	33.10	director:15 cinematographer:9 composer:8 screenwriter:3
Q2364856	Six in Paris	1965	33	33.05	director:12 cinematographer:9 screenwriter:12 cast:5
